name_orig,name_pretty
RuleGPcoordovs,GPcoordovs
RuleGPdeverbaddr,GPdeverbaddr
RuleGPpatinstr,GPpatinstr
RuleGPdeverbsubj,GPdeverbsubj
RuleGPadjective,GPadjective
RuleGPpatbenperson,GPpatbenperson
RuleGPwordorder,GPwordorder
RuleDoubleAdpos,doubleADPs
RuleDoubleAdpos.max_allowable_distance,doubleADPdist.m
RuleDoubleAdpos.max_allowable_distance.v,doubleADPdist.v
RuleAmbiguousRegards,ambig_reg
RuleReflexivePassWithAnimSubj,rfpass_animsubj
RuleTooFewVerbs,fewVERBs
RuleTooFewVerbs.min_verb_frac,VERBfrac.m
RuleTooFewVerbs.min_verb_frac.v,VERBfrac.v
RuleTooManyNegations,manyNEGs
RuleTooManyNegations.max_negation_frac,NEGfrac.m
RuleTooManyNegations.max_negation_frac.v,NEGfrac.v
RuleTooManyNegations.max_allowable_negations,NEGcount.m
RuleTooManyNegations.max_allowable_negations.v,NEGcount.v
RuleTooManyNominalConstructions,manyNOMconstr
RuleTooManyNominalConstructions.max_noun_frac,NOUNfrac.m
RuleTooManyNominalConstructions.max_noun_frac.v,NOUNfrac.v
RuleTooManyNominalConstructions.max_allowable_nouns,NOUNcount.m
RuleTooManyNominalConstructions.max_allowable_nouns.v,NOUNcount.v
RuleFunctionWordRepetition,fwordrep
RuleCaseRepetition,caserep
RuleCaseRepetition.max_repetition_count,caserepcount.m
RuleCaseRepetition.max_repetition_count.v,caserepcount.v
RuleCaseRepetition.max_repetition_frac,caserepfrac.m
RuleCaseRepetition.max_repetition_frac.v,caserepfrac.v
RuleWeakMeaningWords,weakmeaning
RuleAbstractNouns,abstractNOUNs
RuleRelativisticExpressions,relativisticexprs
RuleConfirmationExpressions,extrcaseexprs
RuleRedundantExpressions,redundexprs
RuleTooLongExpressions,longexprs
RuleAnaphoricReferences,anaphoricrefs
RuleLiteraryStyle,literary
RulePassive,passives
RulePredSubjDistance,subj
RulePredSubjDistance.max_distance,predsubjdist.m
RulePredSubjDistance.max_distance.v,predsubjdist.v
RulePredObjDistance,obj
RulePredObjDistance.max_distance,predobjdist.m
RulePredObjDistance.max_distance.v,predobjdist.v
RuleInfVerbDistance,xcomp
RuleInfVerbDistance.max_distance,xcompdist.m
RuleInfVerbDistance.max_distance.v,xcompdist.v
RuleMultiPartVerbs,analyticVERBs
RuleMultiPartVerbs.max_distance,analyticVERBsdist.m
RuleMultiPartVerbs.max_distance.v,analyticVERBsdist.v
RuleLongSentences,longsents
RuleLongSentences.max_length,sentlen.m
RuleLongSentences.max_length.v,sentlen.v
RulePredAtClauseBeginning,clausepred
RulePredAtClauseBeginning.max_order,predorder.m
RulePredAtClauseBeginning.max_order.v,predorder.v
RuleVerbalNouns,verbalNOUNs
RuleDoubleComparison,dblcomparison
RuleWrongValencyCase,wrongvalency
RuleWrongVerbonominalCase,wrongvnomcase
RuleIncompleteConjunction,incomplCONJ
sent_count,sentcount
word_count,wordcount
syllab_count,syllabcount
char_count,charcount
cli,cli
ari,ari
num_hapax,hapaxes
entropy,entropy
ttr,ttr
mattr,mattr
mattr.v,ttr.v
maentropy,maentropy
maentropy.v,entropy.v
mamr,mamr
verb_dist,verbdist
activity,activity
hpoint,hpoint
atl,atl
fre,fre
fkgl,fkgl
gf,gf
smog,smog